Title,Directed by,Written by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Running time,Budget,Box office,Production companies,Screenplay by,Story by,Release date,Countries,Languages,Rotten Tomatoes
Blade: Trinity,David S. Goyer,['David S. Goyer'],Blade by  Marv Wolfman Gene Colan,"['Peter Frankfurt', 'Wesley Snipes', 'David S. Goyer', 'Lynn Harris']","['Wesley Snipes', 'Kris Kristofferson', 'Jessica Biel', 'Ryan Reynolds', 'Parker Posey', 'Natasha Lyonne', 'Dominic Purcell', 'Triple H']",Gabriel Beristain,"['Conrad Smart', 'Howard E. Smith']","['Ramin Djawadi', 'RZA']",New Line Cinema,113,65000000.0,132000000.0,"['New Line Cinema', 'Marvel Enterprises', 'Amen Ra Films', 'Imaginary Forces', 'Shawn Danielle Productions Ltd.']",,,2004-12-08,United States,English,25.0
Elektra,Rob Bowman,"['Zak Penn', 'Stuart Zicherman', 'Raven Metzner']",Elektra by  Frank Miller,"['Arnon Milchan', 'Gary Foster', 'Avi Arad']","['Jennifer Garner', 'Goran Visnjic', 'Will Yun Lee', 'Cary-Hiroyuki Tagawa', 'Terence Stamp']",Bill Roe,['Kevin Stitt'],['Christophe Beck'],20th Century Fox,97,43000000.0,57000000.0,"['Marvel Enterprises', 'New Regency Productions', 'Horseshoe Bay Productions']",,,2005-01-14,"
 Canada 
 United States 
",English,11.0
Fantastic Four,Tim Story,"['Michael France', 'Mark Frost']",Fantastic Four by  Jack Kirby &  Stan Lee,"['Avi Arad', 'Bernd Eichinger', 'Ralph Winter']","['Ioan Gruffudd', 'Jessica Alba', 'Chris Evans', 'Michael Chiklis', 'Julian McMahon', 'Kerry Washington']",Oliver Wood,['William Hoy'],['John Ottman'],20th Century Fox,106,87500000.0,333500000.0,"['Constantin Film', 'Marvel Enterprises', '1492 Pictures']",,,2005-07-08,"
 United States 
",English,28.0
X-Men: The Last Stand,Brett Ratner,"['Simon Kinberg', 'Zak Penn']",X-Men by  Stan Lee Jack Kirby,"['Lauren Shuler Donner', 'Ralph Winter', 'Avi Arad']","['Hugh Jackman', 'Halle Berry', 'Ian McKellen', 'Famke Janssen', 'Anna Paquin', 'Kelsey Grammer', 'James Marsden', 'Rebecca Romijn', 'Shawn Ashmore', 'Aaron Stanford', 'Vinnie Jones', 'Patrick Stewart']",Dante Spinotti,"['Mark Helfrich', 'Mark Goldblatt', 'Julia Wong']",['John Powell'],20th Century Fox,104,210000000.0,460400000.0,"['20th Century Fox', 'Marvel Entertainment', ""The Donners' Company"", 'Dune Entertainment', 'Ingenious Film Partners']",,,2006-05-26,"
 United States 
 United Kingdom 
",English,57.0
Ghost Rider,Mark Steven Johnson,,Johnny Blaze by  Roy Thomas Gary Friedrich Mike Ploog,"['Avi Arad', 'Steven Paul', 'Michael De Luca', 'Gary Foster']","['Nicolas Cage', 'Eva Mendes', 'Wes Bentley', 'Sam Elliott', 'Donal Logue', 'Peter Fonda']",Russell Boyd,['Richard Francis-Bruce'],['Christopher Young'],Sony Pictures Releasing,110,110000000.0,228700000.0,"['Columbia Pictures', 'Marvel Entertainment', 'Crystal Sky Pictures', 'Relativity Media']",Mark Steven Johnson,,2007-02-16,United States,English,26.0
Spider-Man 3,Sam Raimi,,Spider-Man by  Stan Lee Steve Ditko,"['Laura Ziskin', 'Avi Arad', 'Grant Curtis']","['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Thomas Haden Church', 'Topher Grace', 'Bryce Dallas Howard', 'James Cromwell', 'Rosemary Harris', 'J. K. Simmons']",Bill Pope,['Bob Murawski'],['Christopher Young'],Sony Pictures Releasing,139,258000000.0,894900000.0,"['Columbia Pictures', 'Marvel Entertainment', 'Laura Ziskin Productions']","
 Sam Raimi 
 Ivan Raimi 
 Alvin Sargent 
","['Sam Raimi', 'Ivan Raimi']",2007-04-16,United States,English,63.0
Fantastic Four:Rise of the Silver Surfer,Tim Story,,Fantastic Four by  Stan Lee Jack Kirby,"['Avi Arad', 'Bernd Eichinger', 'Ralph Winter']","['Ioan Gruffudd', 'Jessica Alba', 'Chris Evans', 'Michael Chiklis', 'Julian McMahon', 'Kerry Washington', 'Andre Braugher', 'Beau Garrett', 'Doug Jones', 'Laurence Fishburne']",Larry Blanford,"['William Hoy', 'Peter S. Elliot']",['John Ottman'],20th Century Fox,92,120000000.0,301900000.0,"['Marvel Entertainment', '1492 Pictures', 'Constantin Film', 'Ingenious Film Partners', 'Dune Entertainment']","
 Don Payne 
 Mark Frost 
","['John Turman', 'Mark Frost']",2007-06-15,"
 United States 
 Germany 
",English,
Iron Man,Jon Favreau,,Iron Man by  Stan Lee Larry Lieber Don Heck Jack Kirby,"['Avi Arad', 'Kevin Feige']","['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges', 'Shaun Toub', 'Gwyneth Paltrow']",Matthew Libatique,['Dan Lebental'],['Ramin Djawadi'],Paramount Pictures,126,140000000.0,585800000.0,['Marvel Studios'],"
 Mark Fergus Hawk Ostby 
 Art Marcum Matt Holloway 
",,2008-04-14,United States,English,94.0
The Incredible Hulk,Louis Leterrier,['Zak Penn'],Hulk by  Stan Lee Jack Kirby,"['Avi Arad', 'Gale Anne Hurd', 'Kevin Feige']","['Edward Norton', 'Liv Tyler', 'Tim Roth', 'Tim Blake Nelson', 'Ty Burrell', 'William Hurt']",Peter Menzies Jr.,"['John Wright', 'Rick Shaine', 'Vincent Tabaillon']",['Craig Armstrong'],Universal Pictures,112,137500000.0,264800000.0,"['Marvel Studios', 'Valhalla Motion Pictures']",,,2008-06-08,United States,English,67.0
Punisher: War Zone,Lexi Alexander,"['Nick Santora', 'Art Marcum   Matt Holloway']",The Punisher by  Gerry Conway Ross Andru John Romita Sr.,['Gale Anne Hurd'],"['Ray Stevenson', 'Dominic West', 'Julie Benz', 'Colin Salmon', 'Doug Hutchison', 'Dash Mihok', 'Wayne Knight']",Steve Gainer,"['William Yeh', 'Dean Zimmerman']",['Michael Wandmacher'],"
 Marvel Studios 
 Lionsgate 
 Sony Pictures Releasing  (International) 
",103,35000000.0,10100000.0,"['Lionsgate', 'Valhalla Motion Pictures', 'MHF Zweite Academy Film', 'SGF Entertainment Inc.']",,,2008-12-05,"
 United States 
 Canada 
 Germany 
",English,29.0
